r/R,c/R,beta,
0.15,0.122,37.73,0.658512727
0.2,0.133,39.74,0.693593845
0.25,0.156,36.96,0.645073692
0.3,0.176,33.71,0.588350491
0.35,0.193,30.82,0.537910475
0.4,0.207,28.05,0.489564855
0.45,0.218,25.25,0.440695636
0.5,0.225,22.79,0.397760537
0.55,0.227,20.71,0.361457688
0.6,0.227,18.88,0.329518163
0.65,0.222,17.24,0.300894763
0.7,0.214,15.79,0.275587489
0.75,0.201,14.54,0.253770873
0.8,0.183,13.4,0.23387412
0.85,0.162,12.3,0.214675498
0.9,0.136,11.4,0.198967535
0.95,0.097,10.33,0.180292512
1,0.056,9.26,0.161617489
